True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Geom Mean MSE Ratio,5th Percentile,95th Percentile
10,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,56.2271,17.8294,199.1508
10,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.7123,0.3179,8.4909
10,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.9513,0.1198,5.1845
10,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.9935,0.1766,7.2988
10,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.55,N/A,1.0036,0.1654,6.3629
10,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.1507,0.1789,7.1785
10,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.01,0.5025,0.8089,0.1223,5.7123
10,144,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5025,0.847,0.123,7.6604
10,240,AIC,2.0,6.72,N/A,1.062,0.1266,10.7693
10,240,AICc,0.0,1.0,N/A,1.2356,0.1089,10.941
10,240,SIC (BIC),0.0,1.96,N/A,1.2888,0.0926,10.3072
10,240,HQC,0.0,2.08,N/A,1.2489,0.0926,10.3072
10,240,OLS BMA (BIC-W),N/A,12.0,N/A,1.7613,0.1699,12.2173
10,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,29.5873,6.9566,131.4024
10,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.9093,0.1089,14.2981
10,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.2751,0.0645,12.0543
10,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.4083,0.1255,11.8939
10,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.96,N/A,1.1389,0.1001,12.6935
10,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,2.2115,0.1536,15.1336
10,240,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.07,0.5016,1.4813,0.0927,15.2871
10,240,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5016,1.3115,0.0898,12.3112
10,480,AIC,18.0,8.79,N/A,0.9387,0.0629,12.3806
10,480,AICc,0.0,1.0,N/A,1.0082,0.0591,16.7943
10,480,SIC (BIC),0.0,2.01,N/A,1.1573,0.0823,11.3497
10,480,HQC,0.0,2.59,N/A,1.0364,0.0601,14.323
10,480,OLS BMA (BIC-W),N/A,12.0,N/A,0.9297,0.0761,12.6038
10,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,8.9266,1.3463,56.5267
10,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.3778,0.0667,16.9321
10,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.1868,0.0791,14.3147
10,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.2671,0.0929,16.0257
10,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.01,N/A,1.2048,0.0509,16.1659
10,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.5674,0.1017,16.9351
10,480,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.99,1.1228,1.0798,0.0691,12.5783
10,480,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,1.1228,1.21,0.0696,14.1287
