True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
10,144,AICc,0.0,1.0,N/A,0.0,0.8470692248727224,0.172257331826964,5.667030357780659
10,144,SIC (BIC),0.0,1.48,N/A,0.0,0.9361681157564714,0.15609271251179255,5.291636928478724
10,144,HQC,0.0,2.04,N/A,0.0,0.8355834059558347,0.11786820671537174,3.652525746220031
10,144,OLS BMA (BIC-W),N/A,4.6,N/A,0.0,0.6758276954870718,0.12176545958619346,4.32236001277837
10,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,49.11111564099649,20.241649304474002,219.21590676318988
10,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.6937389528437836,0.3675961443269184,7.592478149752136
10,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,0.9387041034604217,0.12818036648588532,5.56266743530625
10,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,0.9652681275004766,0.1458406101739842,6.561311186908962
10,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.48,N/A,0.0,0.7629563964469172,0.1087339098745253,5.082819978847107
10,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,4.6,N/A,0.0,0.7832671427280671,0.13725748505909027,4.593378820254856
10,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.78,1.5538,0.0,0.8572311188271226,0.08301780161892022,5.0979331310649245
10,144,"SOTA-BMA (MDD W, Opt tau)",N/A,1.86,1.5538,0.0,0.8850439097773661,0.142210436402011,5.142796443352775
10,240,AIC,6.0,6.56,N/A,0.0,0.8160950254402948,0.09638286700610783,6.0740007225319745
10,240,AICc,0.0,1.0,N/A,0.0,0.7383419648436794,0.1048072843534709,6.4149624563499135
10,240,SIC (BIC),0.0,1.96,N/A,0.0,0.8133928692208081,0.08056349346855479,9.328684693385775
10,240,HQC,0.0,2.04,N/A,0.0,0.7976017145099423,0.08679692344986221,9.328684693385775
10,240,OLS BMA (BIC-W),N/A,5.23,N/A,0.0,1.6013971227054125,0.12433276224060229,9.539362180544117
10,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,20.161575195167316,5.518480898940774,89.5561254737441
10,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.285964116779232,0.15262737283724012,9.71017895458351
10,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,1.1304117416737138,0.12893300716007586,8.422153192989708
10,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,1.289304397845335,0.13944825602301547,9.315167375511098
10,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.96,N/A,0.0,0.9543076757338945,0.1262188994766284,9.873785838474895
10,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.23,N/A,0.0,1.2931406582679603,0.21618506018933317,9.320127989725304
10,240,"SOTA-BVAR (MDD p, Opt tau)",2.0,2.34,1.7702,0.0,0.9008910035559133,0.1305992417691966,7.618354175176074
10,240,"SOTA-BMA (MDD W, Opt tau)",N/A,2.36,1.7702,0.0,1.3088185918820472,0.22640262223399538,7.216394045168471
10,480,AIC,16.0,8.72,N/A,0.0,1.053683455878147,0.09965673638415688,8.96214989562251
10,480,AICc,0.0,1.0,N/A,0.0,1.0955790397327094,0.11335406701864559,6.796353420849906
10,480,SIC (BIC),0.0,2.02,N/A,0.0,1.2816216716859274,0.193361304571475,6.157901930835296
10,480,HQC,0.0,2.68,N/A,0.0,1.060201811760089,0.17900242493892457,7.149120072467195
10,480,OLS BMA (BIC-W),N/A,5.91,N/A,0.0,1.5655517299134842,0.2668182322592231,8.516676134034284
10,480,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,0.0,5.534427278935026,1.5154217590789503,32.33482563493118
10,480,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,0.0,1.0141489481429193,0.08562599497174607,7.949771188703482
10,480,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,0.0,0.8468410111296963,0.06129207522889695,6.499215712850601
10,480,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,0.0,0.8227961358605432,0.13216524786147776,5.7434501480050075
10,480,"Hybrid-BVAR (OLS p, Fix tau)",0.0,2.02,N/A,0.0,1.0803698814297968,0.15105727513623832,8.48295798815797
10,480,"Hybrid-BMA (OLS W, Fix tau)",N/A,5.91,N/A,0.0,0.7512162383627011,0.09554153240786772,8.929843218199476
10,480,"SOTA-BVAR (MDD p, Opt tau)",4.0,4.98,1.6342,0.0,1.0223153626187702,0.09945542374472527,7.249573662724641
10,480,"SOTA-BMA (MDD W, Opt tau)",N/A,5.08,1.6342,0.0,0.6361894447956705,0.11214043643693378,5.781904032399759
