p0,T,Iter,p,Estimator,Expected_Tau
4,360,58,5,Joint-BMA,0.2
4,360,58,5,Geom-BMA,0.2
4,360,59,2,Joint-BMA,0.2100306615797581
4,360,59,2,Geom-BMA,0.2100306615797581
4,360,59,3,Joint-BMA,0.2
4,360,59,3,Geom-BMA,0.2
4,360,59,4,Joint-BMA,0.2
4,360,59,4,Geom-BMA,0.2
4,360,59,5,Joint-BMA,0.2
4,360,59,5,Geom-BMA,0.2
4,360,59,6,Joint-BMA,0.2
4,360,60,2,Joint-BMA,0.2
4,360,60,2,Geom-BMA,0.20000000000000004
4,360,60,3,Joint-BMA,0.2
4,360,60,3,Geom-BMA,0.2
4,360,60,4,Joint-BMA,0.20000000000000004
4,360,60,4,Geom-BMA,0.2
4,360,60,5,Joint-BMA,0.2
4,360,61,3,Joint-BMA,0.2
4,360,61,3,Geom-BMA,0.2
4,360,61,4,Joint-BMA,0.20000000000000004
4,360,61,4,Geom-BMA,0.2
4,360,61,5,Joint-BMA,0.2
4,360,61,5,Geom-BMA,0.2
4,360,62,2,Joint-BMA,0.2
4,360,62,2,Geom-BMA,0.2
4,360,62,3,Joint-BMA,0.2
4,360,62,3,Geom-BMA,0.2
4,360,62,4,Joint-BMA,0.2
4,360,62,4,Geom-BMA,0.20000000000000004
4,360,62,5,Joint-BMA,0.2
4,360,62,5,Geom-BMA,0.2
4,360,62,6,Joint-BMA,0.2
4,360,62,6,Geom-BMA,0.2
4,360,62,7,Joint-BMA,0.2
4,360,63,2,Joint-BMA,0.2
4,360,63,2,Geom-BMA,0.2
4,360,63,3,Joint-BMA,0.2
4,360,63,3,Geom-BMA,0.2
4,360,63,4,Joint-BMA,0.2
4,360,63,4,Geom-BMA,0.2
4,360,63,5,Joint-BMA,0.2
4,360,63,5,Geom-BMA,0.2
4,360,63,6,Joint-BMA,0.20000000000000004
4,360,64,3,Joint-BMA,0.2
4,360,64,3,Geom-BMA,0.2
4,360,64,4,Joint-BMA,0.2
4,360,64,4,Geom-BMA,0.2
4,360,64,5,Joint-BMA,0.2
4,360,64,5,Geom-BMA,0.2
4,360,64,6,Joint-BMA,0.2
4,360,65,3,Joint-BMA,0.2
4,360,65,3,Geom-BMA,0.2
4,360,65,4,Joint-BMA,0.2
4,360,65,4,Geom-BMA,0.2
4,360,65,5,Joint-BMA,0.2
4,360,65,5,Geom-BMA,0.2
4,360,65,6,Joint-BMA,0.2
4,360,66,2,Joint-BMA,0.2
4,360,66,2,Geom-BMA,0.2
4,360,66,3,Joint-BMA,0.2
4,360,66,3,Geom-BMA,0.2
4,360,66,4,Joint-BMA,0.2
4,360,66,4,Geom-BMA,0.2
4,360,67,2,Joint-BMA,0.2
4,360,67,2,Geom-BMA,0.2
4,360,67,3,Joint-BMA,0.2
4,360,67,3,Geom-BMA,0.2
4,360,67,4,Joint-BMA,0.2
4,360,67,4,Geom-BMA,0.2
4,360,67,5,Joint-BMA,0.2
4,360,67,5,Geom-BMA,0.2
4,360,67,6,Joint-BMA,0.2
4,360,68,2,Joint-BMA,0.19999999999999998
4,360,68,2,Geom-BMA,0.19999999999999998
4,360,68,3,Joint-BMA,0.19999999999999998
